label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
3S->5P,5.0,3,5,1,2,True,9.717716395525847e-08,1.0863728350423852e-07,-10.548974697561286
3S->5P,10.0,3,5,1,2,True,1.472969962035084e-07,1.2877249848217755e-07,14.385445603429602
3S->5P,15.0,3,5,1,2,True,1.725340134897797e-07,1.376747042825398e-07,25.32005381010345
3S->5P,20.0,3,5,1,2,True,1.854763779706463e-07,1.4250039881260513e-07,30.15849746115913
3S->5P,25.0,3,5,1,2,True,1.9216577415061305e-07,1.4410800637814426e-07,33.34843703712311
3S->5D,0.5,3,5,2,2,False,1.4692132211407553e-08,2.7648751747283755e-08,-46.861499044524045
3S->5D,1.0,3,5,2,2,False,3.5064478653833575e-08,6.484008438153731e-08,-45.92160237253192
3S->5D,3.0,3,5,2,2,False,6.364877541269235e-08,1.0284151763107976e-07,-38.10984427416011
3S->5D,5.0,3,5,2,2,False,7.328045840429997e-08,1.0538997339949225e-07,-30.467333807436926
3S->5D,10.0,3,5,2,2,False,8.069751006694568e-08,9.956873543354086e-08,-18.95296277935673
3S->5D,15.0,3,5,2,2,False,8.100076822353733e-08,9.317281043346531e-08,-13.063942316755629
3S->5D,20.0,3,5,2,2,False,7.932021809194487e-08,8.788946753112772e-08,-9.750029986412079
3S->5D,25.0,3,5,2,2,False,7.704326783542766e-08,8.322815341625444e-08,-7.43124210613434
3S->5F,0.5,3,5,3,2,False,1.2325032122470862e-08,2.4049505957696523e-08,-48.75141242339532
3S->5F,1.0,3,5,3,2,False,2.9032870616453593e-08,5.190250885939959e-08,-44.06268356872365
3S->5F,3.0,3,5,3,2,False,4.216527153751887e-08,6.900766329642487e-08,-38.89769697548453
3S->5F,5.0,3,5,3,2,False,4.060588328519633e-08,6.568422711873117e-08,-38.18016125576554
3S->5F,10.0,3,5,3,2,False,3.4839261640437666e-08,5.438338551970534e-08,-35.937674149002795
